Open_price,High_price,Low_price,Close_price,Volume,Quote_asset_volume,Number_of_trades,buy_base_volume,buy_quote_volume,label
19594.97,19706.66,19580.7,19685.07,4551.52998,89419767.0900414,88494,2440.82938,47954284.7501904,1
19685.07,19686.45,19622.24,19643.57,2819.40344,55404897.8090233,61695,1389.20732,27300241.6858862,1
19643.55,19649.43,19581.39,19587.69,2746.93941,53888150.9290705,63689,1335.56135,26202078.7718863,1
19587.69,19622.51,19561.51,19612.21,2719.22361,53279126.1869272,66166,1411.87443,27664726.4170367,1
19611.0,19634.38,19579.52,19618.62,2406.94321,47205242.718088,57299,1233.29139,24188657.538338,1
19618.62,19688.28,19610.19,19664.92,3372.20986,66283457.6104239,76616,1770.9991,34809988.6191008,1
19665.95,19673.0,19601.0,19611.85,3044.81633,59763769.3600825,63504,1435.64737,28179850.5228639,1
19611.85,19630.03,19590.01,19620.28,2157.55812,42307090.4791435,53098,1035.19513,20299879.8689927,1
19620.36,19628.75,19546.55,19567.72,3150.76158,61707152.8615442,72634,1414.56078,27705347.2745289,1
19568.43,19588.75,19524.15,19534.45,3158.19164,61765259.175183,69061,1481.08191,28967616.8640817,1
19535.29,19549.2,19493.92,19528.24,4731.03937,92363749.33516,96930,2337.88187,45644972.9882976,1
19529.61,19560.74,19524.49,19551.69,2188.40715,42773878.9289004,49632,1129.40782,22075816.6546631,1
19553.03,19565.59,19470.0,19505.95,4361.07817,85081946.8607829,70577,2334.48492,45545323.7129045,1
19505.1,19535.0,19495.97,19528.61,2083.69754,40673888.1293772,48618,1048.99382,20476757.7708802,1
19528.61,19541.37,19502.98,19534.84,1943.77302,37950112.8477615,45595,985.89674,19249651.4502296,1
19534.79,19566.94,19518.07,19549.81,2098.2689,41004802.140882,50589,1044.20021,20406424.6354733,1
19548.88,19583.35,19540.61,19556.14,2226.78542,43564655.810025,49023,1091.87031,21361685.2399581,1
19556.59,19565.0,19524.0,19532.16,1752.03307,34234600.4982749,40545,870.75498,17014160.0512033,1
19532.17,19558.85,19528.83,19532.84,1966.05651,38418707.7580514,42855,910.30094,17788854.3215787,1
19532.61,19566.87,19528.93,19562.04,1688.81098,33015088.9564401,37939,876.48899,17135296.0461378,1
19561.08,19595.12,19559.42,19573.4,2179.03486,42655546.1751786,46709,1074.3544,21031171.4940897,1
19573.19,19605.9,19560.1,19563.59,2160.13734,42300769.1336943,47702,1066.14924,20878965.3219278,1
19563.59,19613.33,19562.55,19598.71,2311.59211,45283062.2679542,52165,1271.89984,24916142.1994929,1
19597.74,19608.68,19573.0,19599.66,2138.86181,41901606.2505555,47645,1032.7309,20232716.9248994,1
19600.83,19620.61,19590.6,19602.15,2457.19063,48181839.4240549,53928,1247.62691,24464761.0643264,1
19602.15,19650.31,19580.0,19626.76,2873.77001,56372948.6857053,65154,1490.68528,29243297.8003154,1
19626.02,19640.87,19595.1,19598.62,2116.34421,41523710.3285751,51856,1042.00137,20445256.2055133,1
19598.62,19664.99,19585.0,19650.36,2831.61272,55571126.8633226,65564,1504.43588,29525696.5334441,1
19649.34,19680.49,19552.29,19590.55,6737.95959,132190478.2802874,128882,3344.06846,65612264.0331964,1
19589.95,19597.69,19527.86,19542.79,4390.07704,85896258.6420128,93897,2104.08806,41170756.7487913,1
19544.77,19575.34,19536.91,19554.69,3288.6868,64322702.3933031,72165,1626.75504,31818239.0395003,1
19553.63,19569.98,19446.4,19472.95,6867.93912,133932951.069498,126442,3264.27541,63658820.7536431,1
19472.95,19479.27,19361.87,19436.18,7287.13722,141478058.8230384,135375,3669.61764,71246906.6918056,1
19436.18,19469.03,19412.0,19416.96,3516.86113,68356566.8582295,74604,1665.48277,32373269.4229363,1
